Company_ID,What is the size of your business?,What industry does your business operate in?,Does your business have a dedicated IT or cybersecurity team?,annual cybersecurity budget?,How frequently does your business review or update its cybersecurity policies?,(Optional) Has your business ever experienced a cybersecurity issue,"If yes, which types of incidents occurred? (Select all that apply):",What impact did the cybersecurity incident(s) have on your business?,How concerned are you about cybersecurity threats affecting your business?,Does your business keep up with news or alerts about cybersecurity threats?,Does your business have a formal cybersecurity policy in place?,Do you have a plan to respond to cybersecurity breaches?,How often does your business review cybersecurity risks?,Which cybersecurity measures does your business use? (Select all that apply):,Which cybersecurity standards does your organization follow? (Select all that apply):,What are the most pressing cybersecurity challenges currently faced by your business? (Select all that apply),Where do you get information about cybersecurity threats or best practices? (Select all that apply):,How likely is your business to improve cybersecurity in the next 12 months?,Would your business benefit from a tailored cybersecurity risk report?,"Does your business have a documented and tested cybersecurity incident response plan that outlines clear roles, escalation procedures, and communication strategies?","Does your business store or process sensitive data (e.g., personal, financial, health)?","How does your company establish and enforce information security policies, and ensure management and all personnel, including on-site subcontractors, understand their responsibilities?","What measures are in place to secure your physical construction sites, including controlling entry, monitoring the premises, and protecting against theft or environmental damage?","How do you protect valuable equipment, materials, and temporary site offices from unauthorized access, damage, or disruption to supporting utilities like power?","What is your process for managing security in relationships with third-party subcontractors, architects, and suppliers, especially regarding access to project data and site plans?","How do you manage user access to corporate and project management systems, and ensure that access is removed promptly when an employee or subcontractor leaves a project?","How does your company plan for and maintain operations and information security during a major disruption, such as a site shutdown, supply chain failure, or cyberattack?","What security measures are in place to protect data on mobile devices (laptops, tablets, phones) used by project managers and on-site personnel?",How do you manage the installation of software and use of administrative tools on both office computers and on-site operational systems?,"How do you ensure that all personnel, from executives to on-site crews, undergo appropriate background checks and understand their information security responsibilities?"
S18,Micro,Construction,No-Team,Yes,Yes,No,Phishing,Phishing,Very concerned,Maybe,No,Yes,Yes,MFA; Patch Management,Backup; Firewall; GDPR Compliance,Insufficient Budget; Limited Expertise,Internal Monitoring,Not Likely,Yes,No,No,"Information security policies are defined and approved by management. All personnel, including site supervisors, are required to apply them.","A multi-layered physical security plan is implemented for each site. This includes defined and monitored perimeters, strict entry controls, continuous surveillance (e.g., CCTV), and measures to protect assets from both theft and environmental threats.","We have procedures for securing site offices and facilities. Equipment is sited to minimize risk, and we have plans for temporary power if utilities are disrupted.","We have a formal process for addressing information security within all supplier agreements. This includes specific requirements for data handling, access control, and incident reporting, tailored to the sensitivity of the project information being shared.",A formal process exists for managing user identities and access rights based on project roles. Access is reviewed periodically and removed upon termination.,We have a business continuity plan that covers major disruptions. We plan how to maintain an appropriate level of information security during these events.,"All devices (company-owned or BYOD) accessing project data are managed through a Mobile Device Management (MDM) or Unified Endpoint Management (UEM) solution. This enforces encryption, strong passcodes, remote wipe capabilities, and secure application installation.","We have documented procedures to manage software installation on operational systems, and the use of privileged utility programs is restricted.",Background verification checks are carried out for all candidates prior to joining. All staff receive basic security awareness training.
S27,Medium,Construction,In-House,No,Annually,Not Sure,Backup; Firewall; GDPR Compliance,Phishing,Neutral,Yes,No,Maybe,Yes,MFA; Patch Management,Phishing,Compliance Complexity; Insufficient Budget; Limited Expertise,Internal Monitoring,Not Likely,Yes,Yes,Maybe,"A comprehensive set of security policies is defined, approved, and communicated to all personnel and relevant interested parties (including subcontractors). Management actively enforces these policies at all locations, both office and on-site.","A multi-layered physical security plan is implemented for each site. This includes defined and monitored perimeters, strict entry controls, continuous surveillance (e.g., CCTV), and measures to protect assets from both theft and environmental threats.","We have procedures for securing site offices and facilities. Equipment is sited to minimize risk, and we have plans for temporary power if utilities are disrupted.",Our standard supplier and subcontractor agreements include baseline information security requirements and confidentiality clauses.,A formal process exists for managing user identities and access rights based on project roles. Access is reviewed periodically and removed upon termination.,"We have a comprehensive, tested business continuity and crisis management plan. This plan specifically addresses how to maintain information security, protect assets, and recover operations efficiently during any significant disruption.",We have no security policies or controls for mobile devices.,Users can install any software they want and have full administrative rights on their computers.,Background verification checks are carried out for all candidates prior to joining. All staff receive basic security awareness training.
S31,Micro,Construction,No-Team,Whenever-Required,Yes,Yes,Phishing,Phishing,Neutral,Yes,Yes,Yes,No,MFA,Phishing,Compliance Complexity,"Newspapers, National Agencies, Internal Monitoring",Very Likely,Maybe,No,Maybe,"A comprehensive set of security policies is defined, approved, and communicated to all personnel and relevant interested parties (including subcontractors). Management actively enforces these policies at all locations, both office and on-site.","We define and enforce physical security perimeters (e.g., fencing), control entry points for workers and vehicles, and have basic monitoring (e.g., security patrols).","We have procedures for securing site offices and facilities. Equipment is sited to minimize risk, and we have plans for temporary power if utilities are disrupted.","We have a formal process for addressing information security within all supplier agreements. This includes specific requirements for data handling, access control, and incident reporting, tailored to the sensitivity of the project information being shared.",A formal process exists for managing user identities and access rights based on project roles. Access is reviewed periodically and removed upon termination.,We have a business continuity plan that covers major disruptions. We plan how to maintain an appropriate level of information security during these events.,We have no security policies or controls for mobile devices.,"We have documented procedures to manage software installation on operational systems, and the use of privileged utility programs is restricted.",We do not perform background checks or provide security training.
S39,Small,Construction,In-House,Yes,Quarterly,Not Sure,Phishing,Minimal Impact,Very concerned,Maybe,No,No,Yes,Firewall; GDPR Compliance; MFA,Backup; Firewall; GDPR Compliance,Compliance Complexity; Insufficient Budget; Limited Expertise,Newspapers,Not Likely,Maybe,Yes,Yes,"Information security policies are defined and approved by management. All personnel, including site supervisors, are required to apply them.","Sites are fenced, but there is no formal entry control or monitoring.",Equipment and site offices are left unsecured without specific protections.,Our standard supplier and subcontractor agreements include baseline information security requirements and confidentiality clauses.,"We use a centralized Identity Management system to control access to all project data. The full lifecycle of identities is managed, with access rights provisioned and revoked automatically based on project assignment and employment status.","We have a comprehensive, tested business continuity and crisis management plan. This plan specifically addresses how to maintain information security, protect assets, and recover operations efficiently during any significant disruption.",A formal remote work and mobile device policy is in place. Company-provided devices are encrypted and have anti-malware installed.,"A strict policy and technical controls are in place to manage all software installations. The use of programs with privileged access is tightly restricted, logged, and controlled across all company systems, both in the office and on-site.","A formal screening process is applied to all personnel based on their role and access to sensitive information. Security responsibilities are included in contracts, and regular, role-based security training is provided to everyone, including specific guidance for on-site risks."
S44,Medium,Construction,Outsourced,Yes,Quarterly,Not Sure,Phishing,Backup; Firewall; GDPR Compliance,Very concerned,No,Maybe,Maybe,No,GDPR Compliance,Backup; Firewall; GDPR Compliance,Compliance Complexity; Employee Awareness; Insufficient Budget; Limited Expertise; Ops Integration,Not Applicable,Not Likely,Maybe,Not Sure,Maybe,"Information security policies are defined and approved by management. All personnel, including site supervisors, are required to apply them.","Sites are fenced, but there is no formal entry control or monitoring.","We have procedures for securing site offices and facilities. Equipment is sited to minimize risk, and we have plans for temporary power if utilities are disrupted.","We have a formal process for addressing information security within all supplier agreements. This includes specific requirements for data handling, access control, and incident reporting, tailored to the sensitivity of the project information being shared.",A formal process exists for managing user identities and access rights based on project roles. Access is reviewed periodically and removed upon termination.,"We have a comprehensive, tested business continuity and crisis management plan. This plan specifically addresses how to maintain information security, protect assets, and recover operations efficiently during any significant disruption.",A formal remote work and mobile device policy is in place. Company-provided devices are encrypted and have anti-malware installed.,"A strict policy and technical controls are in place to manage all software installations. The use of programs with privileged access is tightly restricted, logged, and controlled across all company systems, both in the office and on-site.","A formal screening process is applied to all personnel based on their role and access to sensitive information. Security responsibilities are included in contracts, and regular, role-based security training is provided to everyone, including specific guidance for on-site risks."
S45,Medium,Construction,In-House,Whenever-Required,Annually,Yes,Phishing,Backup; Firewall; GDPR Compliance,Neutral,Maybe,No,Maybe,Yes,Backup; GDPR Compliance,NIST CSF,Backup; Firewall; GDPR Compliance,Not Applicable,Very Likely,No,Not Sure,No,"We have no formal, written information security policies.","We define and enforce physical security perimeters (e.g., fencing), control entry points for workers and vehicles, and have basic monitoring (e.g., security patrols).","High-value equipment is locked when not in use, but there are no formal procedures for its protection or for securing temporary facilities.",Our standard supplier and subcontractor agreements include baseline information security requirements and confidentiality clauses.,We use shared accounts for project teams; access is not removed promptly upon project completion.,"We have a comprehensive, tested business continuity and crisis management plan. This plan specifically addresses how to maintain information security, protect assets, and recover operations efficiently during any significant disruption.",A formal remote work and mobile device policy is in place. Company-provided devices are encrypted and have anti-malware installed.,"We have documented procedures to manage software installation on operational systems, and the use of privileged utility programs is restricted.",We do not perform background checks or provide security training.
S50,Small,Construction,Outsourced,Whenever-Required,No,Not Sure,Phishing,Backup; Firewall; GDPR Compliance,Somewhat concerned,No,No,Maybe,Maybe,MFA,NIST CSF,Compliance Complexity,Internal Monitoring,Not Likely,Maybe,No,No,"Information security policies are defined and approved by management. All personnel, including site supervisors, are required to apply them.","A multi-layered physical security plan is implemented for each site. This includes defined and monitored perimeters, strict entry controls, continuous surveillance (e.g., CCTV), and measures to protect assets from both theft and environmental threats.",Equipment and site offices are left unsecured without specific protections.,"We have a formal process for addressing information security within all supplier agreements. This includes specific requirements for data handling, access control, and incident reporting, tailored to the sensitivity of the project information being shared.","We use a centralized Identity Management system to control access to all project data. The full lifecycle of identities is managed, with access rights provisioned and revoked automatically based on project assignment and employment status.",We have a business continuity plan that covers major disruptions. We plan how to maintain an appropriate level of information security during these events.,"All devices (company-owned or BYOD) accessing project data are managed through a Mobile Device Management (MDM) or Unified Endpoint Management (UEM) solution. This enforces encryption, strong passcodes, remote wipe capabilities, and secure application installation.","We have procedures for office systems, but on-site computers are unmanaged.",We do not perform background checks or provide security training.
S52,Medium,Construction,No-Team,No,No,Not Sure,Backup; Firewall; GDPR Compliance,Minimal Impact,Very concerned,Maybe,Yes,No,No,GDPR Compliance,Backup; Firewall; GDPR Compliance,Compliance Complexity; Insufficient Budget; Limited Expertise,"Newspapers, National Agencies, IT Providers",Somewhat Likely,Yes,Yes,Yes,"Information security policies are defined and approved by management. All personnel, including site supervisors, are required to apply them.","We define and enforce physical security perimeters (e.g., fencing), control entry points for workers and vehicles, and have basic monitoring (e.g., security patrols).","We have procedures for securing site offices and facilities. Equipment is sited to minimize risk, and we have plans for temporary power if utilities are disrupted.","We have a formal process for addressing information security within all supplier agreements. This includes specific requirements for data handling, access control, and incident reporting, tailored to the sensitivity of the project information being shared.","We use a centralized Identity Management system to control access to all project data. The full lifecycle of identities is managed, with access rights provisioned and revoked automatically based on project assignment and employment status.","We have a comprehensive, tested business continuity and crisis management plan. This plan specifically addresses how to maintain information security, protect assets, and recover operations efficiently during any significant disruption.",We have no security policies or controls for mobile devices.,"We have documented procedures to manage software installation on operational systems, and the use of privileged utility programs is restricted.",Background checks are conducted for office staff only. Security is not formally discussed with on-site teams.
S53,Micro,Construction,In-House,No,No,Yes,Phishing,Backup; Firewall; GDPR Compliance,Very concerned,No,No,Maybe,Yes,Backup; GDPR Compliance,Phishing,Backup; Firewall; GDPR Compliance,IT Providers,Very Likely,Yes,No,Yes,"A comprehensive set of security policies is defined, approved, and communicated to all personnel and relevant interested parties (including subcontractors). Management actively enforces these policies at all locations, both office and on-site.","A multi-layered physical security plan is implemented for each site. This includes defined and monitored perimeters, strict entry controls, continuous surveillance (e.g., CCTV), and measures to protect assets from both theft and environmental threats.","We have procedures for securing site offices and facilities. Equipment is sited to minimize risk, and we have plans for temporary power if utilities are disrupted.","We have informal discussions about confidentiality but lack formal, contractual security clauses.",We use shared accounts for project teams; access is not removed promptly upon project completion.,We have a business continuity plan that covers major disruptions. We plan how to maintain an appropriate level of information security during these events.,A formal remote work and mobile device policy is in place. Company-provided devices are encrypted and have anti-malware installed.,"A strict policy and technical controls are in place to manage all software installations. The use of programs with privileged access is tightly restricted, logged, and controlled across all company systems, both in the office and on-site.","A formal screening process is applied to all personnel based on their role and access to sensitive information. Security responsibilities are included in contracts, and regular, role-based security training is provided to everyone, including specific guidance for on-site risks."
S62,Micro,Construction,No-Team,Whenever-Required,Yes,No,Phishing,Phishing,Neutral,Maybe,Yes,No,Yes,GDPR Compliance,NIST CSF,Compliance Complexity,"Newspapers, IT Providers, Internal Monitoring",Somewhat Likely,No,Yes,No,"Information security policies are defined and approved by management. All personnel, including site supervisors, are required to apply them.","A multi-layered physical security plan is implemented for each site. This includes defined and monitored perimeters, strict entry controls, continuous surveillance (e.g., CCTV), and measures to protect assets from both theft and environmental threats.",Equipment and site offices are left unsecured without specific protections.,"We have a formal process for addressing information security within all supplier agreements. This includes specific requirements for data handling, access control, and incident reporting, tailored to the sensitivity of the project information being shared.","We use a centralized Identity Management system to control access to all project data. The full lifecycle of identities is managed, with access rights provisioned and revoked automatically based on project assignment and employment status.",We have a business continuity plan that covers major disruptions. We plan how to maintain an appropriate level of information security during these events.,"All devices (company-owned or BYOD) accessing project data are managed through a Mobile Device Management (MDM) or Unified Endpoint Management (UEM) solution. This enforces encryption, strong passcodes, remote wipe capabilities, and secure application installation.","A strict policy and technical controls are in place to manage all software installations. The use of programs with privileged access is tightly restricted, logged, and controlled across all company systems, both in the office and on-site.",We do not perform background checks or provide security training.
S71,Micro,Construction,Outsourced,Yes,Whenever-Required,No,Phishing,Backup; Firewall; GDPR Compliance,Somewhat concerned,No,Yes,No,Maybe,Firewall; GDPR Compliance; MFA,Phishing,Insufficient Budget; Limited Expertise,"National Agencies, Internal Monitoring",Somewhat Likely,Yes,Yes,Maybe,"Information security policies are defined and approved by management. All personnel, including site supervisors, are required to apply them.","We define and enforce physical security perimeters (e.g., fencing), control entry points for workers and vehicles, and have basic monitoring (e.g., security patrols).","We have procedures for securing site offices and facilities. Equipment is sited to minimize risk, and we have plans for temporary power if utilities are disrupted.",We do not include security requirements in our agreements with subcontractors or partners.,"Unique accounts are used, but access rights are not based on a formal role, and de-provisioning is a slow, manual process.",We have a business continuity plan that covers major disruptions. We plan how to maintain an appropriate level of information security during these events.,We have no security policies or controls for mobile devices.,"We have documented procedures to manage software installation on operational systems, and the use of privileged utility programs is restricted.","A formal screening process is applied to all personnel based on their role and access to sensitive information. Security responsibilities are included in contracts, and regular, role-based security training is provided to everyone, including specific guidance for on-site risks."
S84,Micro,Construction,No-Team,Yes,Whenever-Required,Not Sure,Phishing,Backup; Firewall; GDPR Compliance,Somewhat concerned,Maybe,Maybe,Yes,Maybe,GDPR Compliance,NIST CSF,Insufficient Budget; Limited Expertise,Not Applicable,Very Likely,Maybe,No,No,"Policies exist for head office staff, but they are not communicated to or enforced for on-site personnel or subcontractors.",Job sites are open with no specific security measures in place.,"A formal security plan covers all on-site assets. This includes secure siting and protection of equipment and trailers, security for cabling and supporting utilities, and measures for working securely within designated areas.","We have informal discussions about confidentiality but lack formal, contractual security clauses.",A formal process exists for managing user identities and access rights based on project roles. Access is reviewed periodically and removed upon termination.,We have no formal plan to manage security or continue operations during a disruption.,A formal remote work and mobile device policy is in place. Company-provided devices are encrypted and have anti-malware installed.,Users can install any software they want and have full administrative rights on their computers.,Background checks are conducted for office staff only. Security is not formally discussed with on-site teams.
S91,Medium,Construction,In-House,Yes,Whenever-Required,No,Backup; Firewall; GDPR Compliance,Minimal Impact,Very concerned,No,Yes,Maybe,Yes,MFA,Backup; Firewall; GDPR Compliance,Compliance Complexity; Insufficient Budget; Limited Expertise,"National Agencies, Internal Monitoring",Not Likely,Maybe,Not Sure,No,"We have no formal, written information security policies.","Sites are fenced, but there is no formal entry control or monitoring.","We have procedures for securing site offices and facilities. Equipment is sited to minimize risk, and we have plans for temporary power if utilities are disrupted.",We do not include security requirements in our agreements with subcontractors or partners.,A formal process exists for managing user identities and access rights based on project roles. Access is reviewed periodically and removed upon termination.,"We have a comprehensive, tested business continuity and crisis management plan. This plan specifically addresses how to maintain information security, protect assets, and recover operations efficiently during any significant disruption.",We have no security policies or controls for mobile devices.,"A strict policy and technical controls are in place to manage all software installations. The use of programs with privileged access is tightly restricted, logged, and controlled across all company systems, both in the office and on-site.",Background verification checks are carried out for all candidates prior to joining. All staff receive basic security awareness training.
