Question,Industry,Control No.,Control Title,Control Description,Priority,References
Does your business have a dedicated IT or cybersecurity team?,E-commerce;Education;Finance;Healthcare;Manufacturing;Services,5.2,Information security roles and responsibilities,Information security roles and responsibilities shall be defined and allocated according to the organization needs.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10), NCSC_NIS2_Guide.pdf (Section 5)"
annual cybersecurity budget?,Construction;E-commerce;Education;Finance;Fitness;Healthcare;Manufacturing;Services,5.4,Management responsibilities,"Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.",High,"NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10)"
How frequently does your business review or update its cybersecurity policies?,E-commerce;Education;Finance;Healthcare;Manufacturing;Services,5.1,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 17)"
(Optional) Has your business ever experienced a cybersecurity issue,E-commerce;Education;Finance;Healthcare;Services,5.27;5.25,Learning from information security incidents;Assessment and decision on information security events,Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.;The organization shall assess information security events and decide if they are to be categorized as information security incidents.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), national-cyber-risk-assessment-2022.pdf (p.32);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
"If yes, which types of incidents occurred? (Select all that apply):",E-commerce;Education;Finance;Healthcare;Services,5.25;5.24,Assessment and decision on information security events;Information security incident management planning and preparation,"The organization shall assess information security events and decide if they are to be categorized as information security incidents.;The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
What impact did the cybersecurity incident(s) have on your business?,Construction;E-commerce;Education;Finance;Fitness;Healthcare;Manufacturing;Services,5.25;5.29,Assessment and decision on information security events;Information security during disruption,The organization shall assess information security events and decide if they are to be categorized as information security incidents.;The organization shall plan how to maintain information security at an appropriate level during disruption.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
How concerned are you about cybersecurity threats affecting your business?,E-commerce;Finance;Healthcare;Services,5.7,Threat intelligence,Information relating to information security threats shall be collected and analysed to produce threat intelligence.,Medium,"national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
Does your business keep up with news or alerts about cybersecurity threats?,Construction;E-commerce;Education;Finance;Fitness;Healthcare;Manufacturing;Services,5.7;5.5;5.6,Threat intelligence;Contact with authorities;Contact with special interest groups,Information relating to information security threats shall be collected and analysed to produce threat intelligence.;The organization shall establish and maintain contact with relevant authorities.;The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.,Medium,"NCSC-SME-Guidance-0225.pdf (p.7), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.3);national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
Does your business have a formal cybersecurity policy in place?,E-commerce;Education;Finance;Healthcare;Manufacturing;Services,5.1,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 17)"
Do you have a plan to respond to cybersecurity breaches?,E-commerce;Education;Finance;Healthcare;Services,5.24;5.26,Information security incident management planning and preparation;Response to information security incidents,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.;Information security incidents shall be responded to in accordance with the documented procedures.",High,"NIS2_NCSC_Conference_2024_Slides.pdf (Slide 20), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19)"
How often does your business review cybersecurity risks?,Construction;E-commerce;Education;Finance;Fitness;Healthcare;Manufacturing;Services,5.35,Independent review of information security,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.6), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 14)"
Which cybersecurity measures does your business use? (Select all that apply):,E-commerce;Education;Finance;Healthcare;Manufacturing;Services,8.13;8.5;8.8;8.2;5.34,Information backup;Secure authentication;Management of technical vulnerabilities;Networks security;Privacy and protection of personally identifiable information (PII),"Backup of data and systems shall be maintained and tested regularly.;Secure authentication technologies and procedures shall be implemented based on access restrictions and topic-specific policy.;Organizations shall assess and address technical vulnerabilities of systems in use.;Network devices and infrastructure must be secured, managed, and controlled to protect system information.;The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.",High,"NCSC-SME-Guidance-0225.pdf (p.13), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Data Backup);NCSC_NIS2_Guide.pdf (Section 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identity Management);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify, Governance), OJ_L_202500302_EN_TXT.pdf (Article 6);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Network Security), NCSC-SME-Guidance-0225.pdf (p.10);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Technical Vulnerability Management)"
Which cybersecurity standards does your organization follow? (Select all that apply):,Construction;E-commerce;Education;Finance;Fitness;Healthcare;Manufacturing;Services,5.36;5.31,"Compliance with policies, rules and standards for information security;Legal, statutory, regulatory and contractual requirements","Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.;Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Protect), NCSC-SME-Guidance-0225.pdf (p.10);OJ_L_202500302_EN_TXT.pdf (Article 1), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.5)"
