Question,Industry,Control No.,Control Title,Control Description,Priority,References
Does your business have a dedicated IT or cybersecurity team?,Services,5.2,Information security roles and responsibilities,Information security roles and responsibilities shall be defined and allocated according to the organization needs.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10), NCSC_NIS2_Guide.pdf (Section 5)"
annual cybersecurity budget?,Services,5.4,Management responsibilities,"Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.",High,"NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.10)"
How frequently does your business review or update its cybersecurity policies?,Services,5.1,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 17)"
(Optional) Has your business ever experienced a cybersecurity issue,Services,5.27;5.25,Learning from information security incidents;Assessment and decision on information security events,Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.;The organization shall assess information security events and decide if they are to be categorized as information security incidents.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), national-cyber-risk-assessment-2022.pdf (p.32);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
"If yes, which types of incidents occurred? (Select all that apply):",Services,5.25;5.24,Assessment and decision on information security events;Information security incident management planning and preparation,"The organization shall assess information security events and decide if they are to be categorized as information security incidents.;The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
What impact did the cybersecurity incident(s) have on your business?,Services,5.25;5.29,Assessment and decision on information security events;Information security during disruption,The organization shall assess information security events and decide if they are to be categorized as information security incidents.;The organization shall plan how to maintain information security at an appropriate level during disruption.,High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Recover), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 13);OJ_L_202500302_EN_TXT.pdf (Article 5), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond)"
How concerned are you about cybersecurity threats affecting your business?,Services,5.7,Threat intelligence,Information relating to information security threats shall be collected and analysed to produce threat intelligence.,Medium,"national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
Does your business keep up with news or alerts about cybersecurity threats?,Services,5.7;5.5;5.6,Threat intelligence;Contact with authorities;Contact with special interest groups,Information relating to information security threats shall be collected and analysed to produce threat intelligence.;The organization shall establish and maintain contact with relevant authorities.;The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.,Medium,"NCSC-SME-Guidance-0225.pdf (p.7), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Identify);national-cyber-risk-assessment-2022.pdf (p.30), NIS_Compliance_Security_Guidelines_for_OES.pdf (p.3);national-cyber-risk-assessment-2022.pdf (p.32), NCSC_NIS2_Guide.pdf (Section 5)"
Does your business have a formal cybersecurity policy in place?,Services,5.1,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.",High,"NIS_Compliance_Security_Guidelines_for_OES.pdf (p.9), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 17)"
Do you have a plan to respond to cybersecurity breaches?,Services,5.24;5.26,Information security incident management planning and preparation;Response to information security incidents,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.;Information security incidents shall be responded to in accordance with the documented procedures.",High,"NIS2_NCSC_Conference_2024_Slides.pdf (Slide 20), NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond);NIS_Compliance_Security_Guidelines_for_OES.pdf (Appendix B - Respond), NIS2_NCSC_Conference_2024_Slides.pdf (Slide 19)"
